"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","-","Materials","Base 2015=100","99.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","601","Stone, sand and gravel","Base 2015=100","95.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","60161","Sand and gravel","Base 2015=100","98"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","60162","Stone","Base 2015=100","95.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","621","Ready mixed mortar and concrete","Base 2015=100","101.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","631","Concrete blocks and bricks","Base 2015=100","100.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","64","Other concrete products including precast","Base 2015=100","99.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","64261","Other concrete products (excluding precast concrete)","Base 2015=100","99.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","64262","Precast concrete","Base 2015=100","98.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","65","Structural steel and reinforcing metal","Base 2015=100","98.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","651","Structural steel","Base 2015=100","97.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","65161","Other structural steel","Base 2015=100","100.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","65162","Structural steel fabricated metal","Base 2015=100","97.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","652","Reinforcing metal","Base 2015=100","100.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","653","Other steel products","Base 2015=100","98.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","661","Rough timber (including plain sawn)","Base 2015=100","99.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","66161","Rough timber (softwood)","Base 2015=100","99.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","66162","Rough timber (hardwood)","Base 2015=100","96.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","671","Machined, treated engineered timber","Base 2015=100","102.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","67161","Other treated timber","Base 2015=100","104.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","67162","Wooden windows and doors","Base 2015=100","99.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","68","Bituminous macadam, asphalt and bituminous emulsions","Base 2015=100","99.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","681","Bituminous macadam and asphalt","Base 2015=100","99.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","682","Bituminous emulsions","Base 2015=100","102.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","691","Electrical fittings","Base 2015=100","98.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","69162","Lighting equipment","Base 2015=100","96"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","69163","Protection and communication equipment","Base 2015=100","99.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","70","All other materials","Base 2015=100","99.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","700","Plumbing materials including sanitary ware","Base 2015=100","98.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","701","HVAC (heating and ventilation equipment)","Base 2015=100","99.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","702","Insulating materials","Base 2015=100","99.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","703","Pipes and fittings","Base 2015=100","98.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","70371","PVC pipes and fittings","Base 2015=100","97.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","70372","Copper pipes and fittings","Base 2015=100","98.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","704","Plaster","Base 2015=100","98.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","705","Paints, oils and varnishes","Base 2015=100","100.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","706","Glass","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","708","All other metal fittings","Base 2015=100","99.2"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201501","2015 January","709","All other products","Base 2015=100","99.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","-","Materials","Base 2015=100","99"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","601","Stone, sand and gravel","Base 2015=100","93.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","60161","Sand and gravel","Base 2015=100","96.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","60162","Stone","Base 2015=100","93.5"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","611","Cement","Base 2015=100","100"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","621","Ready mixed mortar and concrete","Base 2015=100","100.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","631","Concrete blocks and bricks","Base 2015=100","100.6"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","64","Other concrete products including precast","Base 2015=100","99.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","64261","Other concrete products (excluding precast concrete)","Base 2015=100","99.4"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","64262","Precast concrete","Base 2015=100","98.8"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","65","Structural steel and reinforcing metal","Base 2015=100","98.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","651","Structural steel","Base 2015=100","97.7"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","65161","Other structural steel","Base 2015=100","100.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","65162","Structural steel fabricated metal","Base 2015=100","97.3"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","652","Reinforcing metal","Base 2015=100","100.9"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","653","Other steel products","Base 2015=100","98.1"
"WPM28C01","Wholesale Price Index (Excl VAT) for Building and Construction Materials","201502","2015 February","661","Rough timber (including plain sawn)","Base 2015=100","99.9"
